Station,Year,LONGITUDE,LATITUDE,Days
AK_Aleknagik_1_NNE,2024,-158.61,59.28,167
AK_Bethel_87_WNW,2024,-164.08,61.35,147
AK_Cordova_14_ESE,2024,-145.35,60.47,77
AK_Deadhorse_3_S,2024,-148.46,70.16,167
AK_Fairbanks_11_NE,2024,-147.51,64.97,165
AK_Galena_44_SW,2024,-158.08,64.34,146
AK_Glennallen_64_N,2024,-145.5,63.03,68
AK_Gustavus_2_NE,2024,-135.69,58.43,147
AK_Huslia_27_E,2024,-155.48,65.66,139
AK_Kenai_29_ENE,2024,-150.45,60.72,167
AK_King_Salmon_42_SE,2024,-155.92,58.21,167
AK_Metlakatla_6_S,2024,-131.59,55.05,167
AK_Port_Alsworth_1_SW,2024,-154.32,60.2,167
AK_Red_Dog_Mine_3_SSW,2024,-162.92,68.03,167
AK_Ruby_44_ESE,2024,-154.13,64.5,67
AK_Sand_Point_1_ENE,2024,-160.47,55.35,144
AK_Selawik_28_E,2024,-159.0,66.56,155
AK_Sitka_1_NE,2024,-135.33,57.06,167
AK_Tok_70_SE,2024,-141.21,62.74,167
AK_Toolik_Lake_5_ENE,2024,-149.4,68.65,167
AK_Utqiagvik_formerly_Barrow_4_ENE,2024,-156.61,71.32,167
AK_Yakutat_3_SSE,2024,-139.68,59.51,167
AL_Brewton_3_NNE,2024,-87.05,31.14,164
AL_Clanton_2_NE,2024,-86.61,32.85,166
AL_Courtland_2_WSW,2024,-87.35,34.66,167
AL_Cullman_3_ENE,2024,-86.8,34.2,156
AL_Fairhope_3_NE,2024,-87.88,30.55,166
AL_Gadsden_19_N,2024,-85.96,34.29,166
AL_Gainesville_2_NE,2024,-88.14,32.84,166
AL_Greensboro_2_WNW,2024,-87.62,32.72,160
AL_Highland_Home_2_S,2024,-86.31,31.92,166
AL_Muscle_Shoals_2_N,2024,-87.64,34.77,167
AL_Northport_2_S,2024,-87.59,33.21,145
AL_Russellville_4_SSE,2024,-87.71,34.45,167
AL_Scottsboro_2_NE,2024,-86.0,34.69,167
AL_Selma_13_WNW,2024,-87.24,32.46,166
AL_Selma_6_SSE,2024,-86.98,32.33,167
AL_Talladega_10_NNE,2024,-86.06,33.57,166
AL_Thomasville_2_S,2024,-87.74,31.88,167
AL_Troy_2_W,2024,-86.0,31.79,166
AL_Valley_Head_1_SSW,2024,-85.62,34.57,167
AR_Batesville_8_WNW,2024,-91.78,35.82,166
AZ_Elgin_5_S,2024,-110.51,31.59,167
AZ_Tucson_11_W,2024,-111.17,32.24,117
AZ_Williams_35_NNW,2024,-112.34,35.76,167
AZ_Yuma_27_ENE,2024,-114.19,32.84,166
CA_Bodega_6_WSW,2024,-123.07,38.32,70
CA_Fallbrook_5_NE,2024,-117.19,33.44,167
CA_Merced_23_WSW,2024,-120.88,37.24,167
CA_Redding_12_WNW,2024,-122.61,40.65,166
CA_Santa_Barbara_11_W,2024,-119.88,34.41,166
CA_Stovepipe_Wells_1_SW,2024,-117.14,36.6,166
CA_Yosemite_Village_12_W,2024,-119.82,37.76,167
CO_Boulder_14_W,2024,-105.54,40.04,167
CO_Cortez_8_SE,2024,-108.5,37.26,167
CO_Dinosaur_2_E,2024,-108.97,40.24,167
CO_La_Junta_17_WSW,2024,-103.82,37.86,166
CO_Montrose_11_ENE,2024,-107.69,38.54,167
CO_Nunn_7_NNE,2024,-104.76,40.81,167
FL_Everglades_City_5_NE,2024,-81.32,25.9,166
FL_Sebring_23_SSE,2024,-81.37,27.15,166
FL_Titusville_7_E,2024,-80.69,28.62,166
GA_Brunswick_23_S,2024,-81.46,30.81,166
GA_Newton_11_SW,2024,-84.45,31.19,164
GA_Newton_8_W,2024,-84.47,31.31,167
GA_Watkinsville_5_SSE,2024,-83.39,33.78,166
HI_Hilo_5_S,2024,-155.08,19.65,167
HI_Mauna_Loa_5_NNE,2024,-155.58,19.54,167
IA_Des_Moines_17_E,2024,-93.29,41.56,167
ID_Arco_17_SW,2024,-113.56,43.46,167
ID_Murphy_10_W,2024,-116.75,43.2,167
IL_Champaign_9_SW,2024,-88.37,40.05,166
IL_Shabbona_5_NNE,2024,-88.85,41.84,163
IN_Bedford_5_WNW,2024,-86.57,38.89,164
KS_Manhattan_6_SSW,2024,-96.61,39.1,167
KS_Oakley_19_SSW,2024,-100.96,38.87,162
KY_Bowling_Green_21_NNE,2024,-86.23,37.25,166
KY_Versailles_3_NNW,2024,-84.75,38.09,167
LA_Lafayette_13_SE,2024,-91.87,30.09,167
LA_Monroe_26_N,2024,-92.12,32.88,167
