Station,Year,LONGITUDE,LATITUDE,Days,Built_1975_50km_percent,Built_2020_50km_percent,Percentage_Change_50km,Built_1975_10km_percent,Built_2020_10km_percent,Percentage_Change_10km,Built_1975_2km_percent,Built_2020_2km_percent,Percentage_Change_2km
AK_Aleknagik_1_NNE,2024,-158.61,59.28,167,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
AK_Bethel_87_WNW,2024,-164.08,61.35,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Cordova_14_ESE,2024,-145.35,60.47,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Deadhorse_3_S,2024,-148.46,70.16,167,0.03,0.05,66.67,0.01,0.03,200.0,0.0,0.0,0.0
AK_Fairbanks_11_NE,2024,-147.51,64.97,165,0.27,0.37,37.04,0.05,0.07,40.0,0.41,0.48,17.07
AK_Galena_44_SW,2024,-158.08,64.34,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Glennallen_64_N,2024,-145.5,63.03,68,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
AK_Gustavus_2_NE,2024,-135.69,58.43,147,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
AK_Huslia_27_E,2024,-155.48,65.66,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Kenai_29_ENE,2024,-150.45,60.72,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_King_Salmon_42_SE,2024,-155.92,58.21,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Metlakatla_6_S,2024,-131.59,55.05,167,0.0,0.01,0.0,0.01,0.02,100.0,0.0,0.0,0.0
AK_Port_Alsworth_1_SW,2024,-154.32,60.2,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Red_Dog_Mine_3_SSW,2024,-162.92,68.03,167,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
AK_Ruby_44_ESE,2024,-154.13,64.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Sand_Point_1_ENE,2024,-160.47,55.35,144,0.0,0.0,0.0,0.02,0.03,50.0,0.17,0.22,29.41
AK_Selawik_28_E,2024,-159.0,66.56,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Sitka_1_NE,2024,-135.33,57.06,167,0.01,0.02,100.0,0.31,0.43,38.71,2.6,3.07,18.08
AK_Tok_70_SE,2024,-141.21,62.74,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Toolik_Lake_5_ENE,2024,-149.4,68.65,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Utqiagvik_formerly_Barrow_4_ENE,2024,-156.61,71.32,167,0.01,0.02,100.0,0.06,0.22,266.67,0.02,0.02,0.0
AK_Yakutat_3_SSE,2024,-139.68,59.51,167,0.0,0.0,0.0,0.01,0.02,100.0,0.15,0.25,66.67
AL_Brewton_3_NNE,2024,-87.05,31.14,164,0.23,0.39,69.57,1.13,2.32,105.31,1.32,2.8,112.12
AL_Clanton_2_NE,2024,-86.61,32.85,166,0.31,0.55,77.42,1.68,3.06,82.14,1.97,3.51,78.17
AL_Courtland_2_WSW,2024,-87.35,34.66,167,0.59,1.11,88.14,0.47,0.8,70.21,0.32,0.65,103.12
AL_Cullman_3_ENE,2024,-86.8,34.2,156,0.79,1.56,97.47,2.46,4.73,92.28,0.81,4.12,408.64
AL_Fairhope_3_NE,2024,-87.88,30.55,166,1.22,2.55,109.02,1.44,5.38,273.61,0.75,2.29,205.33
AL_Gadsden_19_N,2024,-85.96,34.29,166,0.81,1.5,85.19,0.82,1.47,79.27,0.69,1.08,56.52
AL_Gainesville_2_NE,2024,-88.14,32.84,166,0.1,0.18,80.0,0.09,0.15,66.67,0.09,0.12,33.33
AL_Greensboro_2_WNW,2024,-87.62,32.72,160,0.16,0.29,81.25,0.55,1.05,90.91,0.51,1.13,121.57
AL_Highland_Home_2_S,2024,-86.31,31.92,166,0.19,0.34,78.95,0.28,0.51,82.14,0.57,0.92,61.4
AL_Muscle_Shoals_2_N,2024,-87.64,34.77,167,1.0,1.77,77.0,5.57,9.09,63.2,2.27,3.19,40.53
AL_Northport_2_S,2024,-87.59,33.21,145,0.71,1.64,130.99,5.88,11.86,101.7,3.03,7.07,133.33
AL_Russellville_4_SSE,2024,-87.71,34.45,167,0.39,0.71,82.05,0.61,1.31,114.75,0.61,1.61,163.93
AL_Scottsboro_2_NE,2024,-86.0,34.69,167,0.5,0.91,82.0,1.61,2.91,80.75,2.79,4.56,63.44
AL_Selma_13_WNW,2024,-87.24,32.46,166,0.25,0.43,72.0,0.1,0.16,60.0,0.07,0.14,100.0
AL_Selma_6_SSE,2024,-86.98,32.33,167,0.26,0.44,69.23,0.6,1.02,70.0,0.8,2.46,207.5
AL_Talladega_10_NNE,2024,-86.06,33.57,166,0.91,1.61,76.92,0.59,1.24,110.17,3.16,6.5,105.7
AL_Thomasville_2_S,2024,-87.74,31.88,167,0.14,0.24,71.43,0.6,1.24,106.67,1.55,3.5,125.81
AL_Troy_2_W,2024,-86.0,31.79,166,0.26,0.52,100.0,1.47,3.55,141.5,0.61,2.95,383.61
AL_Valley_Head_1_SSW,2024,-85.62,34.57,167,0.53,1.01,90.57,0.53,0.97,83.02,1.53,2.78,81.7
AR_Batesville_8_WNW,2024,-91.78,35.82,166,0.29,0.55,89.66,0.29,0.52,79.31,0.28,0.42,50.0
AZ_Elgin_5_S,2024,-110.51,31.59,167,0.26,0.63,142.31,0.03,0.06,100.0,0.08,0.15,87.5
AZ_Tucson_11_W,2024,-111.17,32.24,117,2.51,4.98,98.41,0.13,0.32,146.15,0.22,0.72,227.27
AZ_Williams_35_NNW,2024,-112.34,35.76,167,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ_Yuma_27_ENE,2024,-114.19,32.84,166,0.12,0.41,241.67,0.0,0.0,0.0,0.0,0.0,0.0
CA_Bodega_6_WSW,2024,-123.07,38.32,70,0.37,0.69,86.49,0.24,0.58,141.67,0.37,0.64,72.97
CA_Fallbrook_5_NE,2024,-117.19,33.44,167,1.06,3.59,238.68,0.62,1.55,150.0,0.03,0.04,33.33
CA_Merced_23_WSW,2024,-120.88,37.24,167,0.59,1.29,118.64,0.02,0.04,100.0,0.0,0.01,0.0
CA_Redding_12_WNW,2024,-122.61,40.65,166,0.73,1.31,79.45,0.04,0.06,50.0,0.07,0.1,42.86
CA_Santa_Barbara_11_W,2024,-119.88,34.41,166,0.52,1.13,117.31,2.47,4.86,96.76,0.6,2.11,251.67
CA_Stovepipe_Wells_1_SW,2024,-117.14,36.6,166,0.0,0.0,0.0,0.01,0.02,100.0,0.15,0.45,200.0
CA_Yosemite_Village_12_W,2024,-119.82,37.76,167,0.02,0.03,50.0,0.0,0.01,0.0,0.0,0.01,0.0
CO_Boulder_14_W,2024,-105.54,40.04,167,0.35,0.57,62.86,0.04,0.07,75.0,0.08,0.13,62.5
CO_Cortez_8_SE,2024,-108.5,37.26,167,0.19,0.31,63.16,0.02,0.03,50.0,0.33,0.49,48.48
CO_Dinosaur_2_E,2024,-108.97,40.24,167,0.02,0.04,100.0,0.07,0.1,42.86,0.13,0.15,15.38
CO_La_Junta_17_WSW,2024,-103.82,37.86,166,0.11,0.17,54.55,0.01,0.01,0.0,0.0,0.0,0.0
CO_Montrose_11_ENE,2024,-107.69,38.54,167,0.25,0.48,92.0,0.03,0.05,66.67,0.08,0.15,87.5
CO_Nunn_7_NNE,2024,-104.76,40.81,167,0.12,0.28,133.33,0.02,0.04,100.0,0.02,0.02,0.0
FL_Everglades_City_5_NE,2024,-81.32,25.9,166,0.02,0.04,100.0,0.03,0.08,166.67,0.22,0.49,122.73
FL_Sebring_23_SSE,2024,-81.37,27.15,166,0.16,0.36,125.0,0.14,0.36,157.14,0.0,0.0,0.0
